!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 12:12:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.0047917925,-0.0057781921,-0.99629021,0.020811468,-0.98665035,0.032232702,-0.0052753324,-0.0058047357
26567500000,-0.0045610946,-0.005957237,-0.99432063,0.01952073,-0.98653269,0.032204956,-0.0051844241,-0.0060124658
26635000000,-0.0049711871,-0.0057486449,-0.99248296,0.020493925,-0.98394686,0.031685084,-0.0056576002,-0.0060229395
26702500000,-0.0049008606,-0.0054376279,-0.99457818,0.020665869,-0.98482811,0.033960044,-0.0053450377,-0.0059007485
26770000000,-0.0048876721,-0.0058119362,-0.99434221,0.019341685,-0.98574072,0.030751333,-0.0055145347,-0.0060869614
26837500000,-0.0050315526,-0.0056655924,-0.99306977,0.020472005,-0.98260045,0.031906947,-0.00555488,-0.0058966777
26905000000,-0.0049927803,-0.0056321099,-0.99520785,0.02012673,-0.98514247,0.031812519,-0.0055054612,-0.0057327566
26972500000,-0.0052295104,-0.0055559995,-0.99259877,0.019981563,-0.9849903,0.029759109,-0.0054241638,-0.0055588977
27040000000,-0.00506547,-0.0057416908,-0.99328172,0.021611361,-0.98255491,0.030871514,-0.005610243,-0.005768511
27107500000,-0.0050112666,-0.0055582919,-0.99450648,0.020224929,-0.98480082,0.031219721,-0.005674311,-0.0056558577
27175000000,-0.005075553,-0.005995573,-0.99191654,0.019946516,-0.983491,0.028625414,-0.00548134,-0.0054100612
27242500000,-0.0050203395,-0.0057860627,-0.99149191,0.021797419,-0.98267037,0.030435741,-0.0051210742,-0.0057372493
27310000000,-0.0048943674,-0.0058585689,-0.99304903,0.020479903,-0.98362398,0.031084105,-0.0054062507,-0.0057974611
27377500000,-0.0049825348,-0.0057289526,-0.99138045,0.021652251,-0.98116195,0.02898407,-0.0057711303,-0.0057590655
27445000000,-0.004829417,-0.0056868987,-0.99187338,0.021926761,-0.98108006,0.029803574,-0.0055634202,-0.0055372245
27512500000,-0.0052269921,-0.0061118989,-0.99283624,0.02079609,-0.98338979,0.029170483,-0.0051766122,-0.0055113216
27580000000,-0.0050999923,-0.0058843396,-0.9895547,0.021966308,-0.98014188,0.029451549,-0.005355685,-0.0056438236
27647500000,-0.0048855436,-0.0061039883,-0.99206769,0.021892279,-0.98109567,0.03059864,-0.0058870791,-0.0062520737
27715000000,-0.0053098574,-0.0061057378,-0.9912132,0.021424264,-0.98245275,0.029413849,-0.0055734445,-0.0055059888
27782500000,-0.0055250768,-0.0059152944,-0.99062783,0.022090197,-0.9798286,0.028917283,-0.0055569913,-0.0061282669
27850000000,-0.0057862643,-0.0061363596,-0.99074113,0.022426218,-0.98110646,0.030493543,-0.0058546243,-0.0057513081
27917500000,-0.0055301962,-0.0059845871,-0.99043524,0.021474719,-0.98086447,0.027990729,-0.0056810454,-0.0058628786
27985000000,-0.0057608518,-0.0055235014,-0.98981696,0.022670209,-0.97877449,0.028648466,-0.0058967224,-0.0060039577
28052500000,-0.0056942222,-0.0056755859,-0.99101305,0.021001607,-0.98062718,0.028798252,-0.005999445,-0.0053715538
28120000000,-0.0058278595,-0.0055319373,-0.99024886,0.021390915,-0.98136401,0.027719975,-0.0058072866,-0.0052405419
28187500000,-0.0054870876,-0.0060525546,-0.98952687,0.022013433,-0.97887564,0.029518805,-0.0057783714,-0.0059279166
28255000000,-0.0058321338,-0.0055480516,-0.99056244,0.021953791,-0.98079586,0.028450757,-0.0062066377,-0.0050925547
28322500000,-0.0058652973,-0.0054424857,-0.98991632,0.021603316,-0.97936404,0.027396798,-0.0057139425,-0.0054736505
28390000000,-0.0055918484,-0.0055215186,-0.99047428,0.022087589,-0.97868419,0.029099613,-0.005769399,-0.0054097278
28457500000,-0.0055896165,-0.0051571811,-0.99066389,0.021526098,-0.98076349,0.028794736,-0.0053976243,-0.0051551722
28525000000,-0.0057930313,-0.0053580063,-0.99017078,0.022109449,-0.98010433,0.028605819,-0.005594587,-0.0055610389
28592500000,-0.0054609594,-0.0056823604,-0.98911977,0.022966474,-0.97795218,0.029447079,-0.0056408169,-0.0058352798
28660000000,-0.0056768898,-0.0052125114,-0.99083334,0.022652328,-0.98016208,0.029109746,-0.00583346,-0.0052888324
28727500000,-0.0054593338,-0.0055195806,-0.99014169,0.022366064,-0.97901964,0.028591162,-0.0057706311,-0.0053516161
28795000000,-0.0056459429,-0.0055493009,-0.99039865,0.021855906,-0.97856468,0.030015066,-0.0056789313,-0.0057309978
28862500000,-0.0054720407,-0.0053242408,-0.99033344,0.022734612,-0.9798165,0.029111773,-0.0055724224,-0.0056765843
28930000000,-0.0053235427,-0.0056805434,-0.99034637,0.022271335,-0.97925711,0.027894527,-0.0057736798,-0.0055682035
28997500000,-0.0054546888,-0.0058618677,-0.98980248,0.022876903,-0.97886884,0.028854772,-0.0061249165,-0.0055796383
29065000000,-0.0057787327,-0.0058188955,-0.9900949,0.022941574,-0.9813571,0.029247068,-0.0057964278,-0.0053059789
29132500000,-0.0059064729,-0.0056859567,-0.98995256,0.022131234,-0.97932243,0.028487146,-0.0060581793,-0.0060215318
29200000000,-0.0060273963,-0.0058456245,-0.98917311,0.022446245,-0.97826111,0.0293262,-0.0057578115,-0.0056186435
29267500000,-0.0061088032,-0.0059835445,-0.9900803,0.022590976,-0.98087704,0.028529216,-0.0061527067,-0.0056573921
29335000000,-0.0059358873,-0.0057879006,-0.98878872,0.022030815,-0.97933465,0.027202114,-0.0060434816,-0.0055411849
29402500000,-0.0064717792,-0.0057619764,-0.98785961,0.023084141,-0.97960079,0.027765252,-0.0060588978,-0.0056095482
29470000000,-0.0061711441,-0.0060812533,-0.98944521,0.023739904,-0.98111713,0.027318642,-0.0063586212,-0.0058671422
29537500000,-0.0065155406,-0.00606809,-0.9875319,0.021177858,-0.97950482,0.025654525,-0.0067574144,-0.0056930734
29605000000,-0.0064438796,-0.0058416482,-0.98722059,0.02318722,-0.98022264,0.02713275,-0.0067779985,-0.0055191522
29672500000,-0.0067055183,-0.0055321935,-0.99010122,0.021796465,-0.98168528,0.025915861,-0.006291748,-0.0057527577
29740000000,-0.0064481408,-0.0055739288,-0.9876923,0.021916032,-0.97956812,0.025298387,-0.0064203334,-0.0053834287
29807500000,-0.0065209279,-0.005644267,-0.98786664,0.023003906,-0.98063928,0.02571243,-0.0065873978,-0.0055475398
29875000000,-0.0067616673,-0.0057460172,-0.98871672,0.022333562,-0.98289573,0.023335218,-0.0071314783,-0.0048789131
29942500000,-0.0064573563,-0.0054236315,-0.98706561,0.021254832,-0.981408,0.023493607,-0.0065626921,-0.0053466484
30010000000,-0.0066530257,-0.0053187506,-0.98780775,0.022824496,-0.9830544,0.025480419,-0.0062910598,-0.0049950536
30077500000,-0.0068143769,-0.0052363398,-0.98851001,0.021658748,-0.98345083,0.022949636,-0.0065650512,-0.0050665126
30145000000,-0.0066924444,-0.0050091357,-0.98721021,0.022216916,-0.98130071,0.023454696,-0.0065835482,-0.0049959524
30212500000,-0.0066981725,-0.0052967765,-0.98807311,0.02308926,-0.98504597,0.023473442,-0.0064926273,-0.0049771313
30280000000,-0.0065075699,-0.0051481179,-0.9882623,0.022160649,-0.98436749,0.022778571,-0.0063656773,-0.0052631279
30347500000,-0.0064530484,-0.00543349,-0.98670232,0.023107231,-0.98225975,0.023107827,-0.0061912322,-0.0050639999
30415000000,-0.0066404627,-0.0048163258,-0.98805469,0.023476899,-0.98541301,0.024453014,-0.0063788001,-0.0051927627
30482500000,-0.0065830355,-0.0050921892,-0.98779756,0.021747068,-0.98397678,0.02270101,-0.0062322407,-0.005290613
30550000000,-0.00679815,-0.0049017407,-0.98652732,0.023265153,-0.98246205,0.02443251,-0.0062815608,-0.0047836173
30617500000,-0.0067328373,-0.0054692458,-0.98855245,0.023884639,-0.98487085,0.024435431,-0.0061870124,-0.0053956378
30685000000,-0.0065690153,-0.0051444685,-0.9873625,0.022870213,-0.98192602,0.023119658,-0.0061699026,-0.0058812653
30752500000,-0.0062498935,-0.0051849829,-0.98492926,0.025508642,-0.98157054,0.024503917,-0.0062795384,-0.0054985648
30820000000,-0.0069244471,-0.005265797,-0.98645818,0.023399681,-0.98396957,0.023224384,-0.0066870563,-0.0059065176
30887500000,-0.0066085784,-0.0051661595,-0.98515546,0.023652673,-0.98120713,0.02345866,-0.0064196312,-0.0053698975
30955000000,-0.0070934901,-0.0057773297,-0.98627448,0.024070263,-0.9823525,0.025474548,-0.006384525,-0.0057828007
31022500000,-0.0070900787,-0.0051614023,-0.98709583,0.024289519,-0.98186058,0.024597406,-0.0068665631,-0.0060633733
31090000000,-0.0071886433,-0.0053739045,-0.98530513,0.024083853,-0.98000157,0.024285436,-0.006900535,-0.005517453
31157500000,-0.0072180936,-0.0051800669,-0.98560268,0.025386304,-0.97994697,0.024765313,-0.0074807401,-0.005674005
31225000000,-0.0075840959,-0.0050670058,-0.98523414,0.024092078,-0.98061836,0.023621738,-0.0073190462,-0.0054354868
31292500000,-0.0073466124,-0.0047293296,-0.98325217,0.023559481,-0.97845787,0.024256766,-0.007362166,-0.0061499476
31360000000,-0.0075037214,-0.0046137953,-0.98417413,0.024331957,-0.98051614,0.023785383,-0.0077981176,-0.0052552796
31427500000,-0.0072520589,-0.0044501591,-0.98430753,0.023403659,-0.9792344,0.023982421,-0.0076704393,-0.0052147373
31495000000,-0.0074789235,-0.0046300702,-0.98344451,0.024529815,-0.97832572,0.024333894,-0.0072654439,-0.005074434
31562500000,-0.0077686552,-0.0042459397,-0.98458624,0.024302557,-0.97999805,0.024009869,-0.0075491462,-0.0049881274
31630000000,-0.0073197884,-0.0042131478,-0.98428875,0.024400175,-0.97852689,0.022890121,-0.0077402443,-0.0047082519
31697500000,-0.0075307954,-0.0042876834,-0.98512191,0.024233609,-0.97916555,0.022881806,-0.0074825236,-0.0045560398
31765000000,-0.0075971689,-0.0040700571,-0.98381388,0.023586035,-0.98055583,0.023067474,-0.007535792,-0.004852897
31832500000,-0.0075217988,-0.0044405516,-0.98430097,0.024447739,-0.98044586,0.022757918,-0.0073879929,-0.0044816975
31900000000,-0.0074494933,-0.0041023442,-0.98413485,0.024241772,-0.97994584,0.023745246,-0.0073486138,-0.0045559285
31967500000,-0.0070401756,-0.0043872837,-0.98381561,0.024167165,-0.98215079,0.024392821,-0.0072313077,-0.004346773
32035000000,-0.0076741185,-0.0040955432,-0.98367894,0.023816466,-0.98105735,0.02396208,-0.0072150771,-0.0041765058
32102500000,-0.007102971,-0.0041236654,-0.98282683,0.024943784,-0.9807905,0.024687916,-0.0074029453,-0.0041829175
32170000000,-0.006724895,-0.0043342127,-0.98301661,0.024680674,-0.98144686,0.024393678,-0.0071383147,-0.0044910312
32237500000,-0.0067666639,-0.0036974987,-0.98356164,0.024676144,-0.98214173,0.023695499,-0.0072339438,-0.0043037152
32305000000,-0.0066503473,-0.0039316267,-0.98189771,0.024067104,-0.98242074,0.024455458,-0.0066610575,-0.0044225561
32372500000,-0.0067629237,-0.0039676549,-0.9820292,0.024849236,-0.98298669,0.024275064,-0.0070047909,-0.0047328826
32440000000,-0.0072025643,-0.0038203921,-0.98393077,0.025262937,-0.9826113,0.024358913,-0.007033274,-0.0042016096
32507500000,-0.0067574624,-0.0043258732,-0.98170471,0.024491243,-0.98183459,0.02476047,-0.006963165,-0.0050019622
32575000000,-0.0073253275,-0.0038174961,-0.98219597,0.024470896,-0.98234475,0.024304777,-0.0074216565,-0.0049037598
32642500000,-0.0064484673,-0.0036335913,-0.98304433,0.024688333,-0.98163348,0.023257464,-0.0071883667,-0.0048721917
32710000000,-0.007071415,-0.0042650742,-0.98176455,0.023893774,-0.98225677,0.023179591,-0.007587594,-0.0048582414
32777500000,-0.006596392,-0.0038625083,-0.98086286,0.02476941,-0.9826842,0.023726597,-0.0073499214,-0.004649925
32845000000,-0.006849586,-0.0040086461,-0.98157471,0.024311095,-0.98184198,0.022558182,-0.0075743301,-0.0042642369
32912500000,-0.0066604279,-0.0041251644,-0.98102534,0.023973316,-0.98236775,0.022668421,-0.0078010904,-0.0045937584
32980000000,-0.0069225277,-0.0038472526,-0.98169672,0.024483889,-0.9831838,0.021499217,-0.0077459975,-0.004600375
33047500000,-0.0073981644,-0.0042247931,-0.9813807,0.023219615,-0.98265952,0.019860834,-0.00797348,-0.004162773
33115000000,-0.0068968409,-0.003875782,-0.98095763,0.02325803,-0.98370713,0.020836648,-0.0082747955,-0.0040824143
33182500000,-0.0071034827,-0.0037618484,-0.98199195,0.02347672,-0.98433524,0.019623607,-0.0079954769,-0.0039127702
33250000000,-0.0069377036,-0.0037473205,-0.98175907,0.021955773,-0.98218226,0.02026929,-0.0086207464,-0.0039723017
33317500000,-0.0069128354,-0.0034428625,-0.98141134,0.023231685,-0.98370546,0.019917011,-0.0085558509,-0.0031667114
33385000000,-0.0071152998,-0.0035366672,-0.98286176,0.022883147,-0.98532856,0.018852413,-0.0084295068,-0.0038949028
33452500000,-0.0068283207,-0.0035120188,-0.98196661,0.022212088,-0.9828347,0.019010097,-0.0080815917,-0.0035393483
33520000000,-0.0071170097,-0.0034478039,-0.98267591,0.022342533,-0.98530698,0.019189209,-0.0082339579,-0.0032578576
33587500000,-0.0070973691,-0.0029859126,-0.98325419,0.021924108,-0.98602629,0.017226964,-0.0083168261,-0.0031894185
33655000000,-0.0071000271,-0.003253066,-0.98214334,0.021700501,-0.98480153,0.018598899,-0.0077731041,-0.0029294118
33722500000,-0.0069146054,-0.0030281008,-0.98360479,0.022038966,-0.98640907,0.019428372,-0.0079003507,-0.0028061508
33790000000,-0.0068819742,-0.0025478182,-0.98346388,0.022001207,-0.98509878,0.018431634,-0.0081656035,-0.0027539255
33857500000,-0.007008675,-0.0028870653,-0.98324794,0.021663785,-0.98443729,0.020083368,-0.0075792139,-0.0023949039
33925000000,-0.0066302596,-0.0027724004,-0.98393857,0.022754252,-0.98676318,0.019835979,-0.0077774576,-0.0027081585
33992500000,-0.006652338,-0.0029958165,-0.98475486,0.021762967,-0.98472106,0.018838257,-0.0077525987,-0.0029019848
34060000000,-0.0065740501,-0.0030014368,-0.98408473,0.022354007,-0.98461175,0.021098018,-0.0070366357,-0.0024793046
34127500000,-0.0067035267,-0.003029156,-0.98476231,0.02306629,-0.98632151,0.020826906,-0.0075018615,-0.0026494409
34195000000,-0.006267813,-0.0028034756,-0.98509765,0.022656411,-0.98376441,0.0203152,-0.0075222841,-0.0021475723
34262500000,-0.0067606168,-0.0027651242,-0.98416829,0.023371011,-0.98335898,0.023055285,-0.0066686636,-0.0023961088
34330000000,-0.0061279112,-0.0029532409,-0.9851948,0.022977769,-0.98373771,0.022620648,-0.0072565926,-0.0025565061
34397500000,-0.0064321505,-0.0027451785,-0.98506546,0.023777187,-0.98209989,0.022590607,-0.0068743052,-0.0028428955
34465000000,-0.0062223002,-0.0027730667,-0.98575246,0.024426073,-0.98277044,0.023967355,-0.0066093635,-0.0025278733
34532500000,-0.006540304,-0.0030201802,-0.98487973,0.023483068,-0.98321354,0.023328602,-0.0065625254,-0.0027305167
34600000000,-0.0064498596,-0.0031821267,-0.9837814,0.023994252,-0.98166233,0.024548218,-0.0067433519,-0.0028726202
34667500000,-0.0061587603,-0.0031016138,-0.98449314,0.024772942,-0.98240733,0.024752945,-0.0068939943,-0.0028653061
34735000000,-0.0063177692,-0.0029008789,-0.9849304,0.023219615,-0.98169392,0.023732036,-0.0069343089,-0.0037741894
34802500000,-0.0063179927,-0.0028518431,-0.98508412,0.024076551,-0.9805792,0.025555164,-0.0069835931,-0.0028508517
34870000000,-0.0064096786,-0.0032137185,-0.98521507,0.024003297,-0.98048657,0.025088012,-0.0070595341,-0.0032260481
34937500000,-0.0066978084,-0.0027514526,-0.98395705,0.023505837,-0.98172373,0.024716645,-0.0065915165,-0.0027230238
35005000000,-0.0070410743,-0.0030053575,-0.98389053,0.023994248,-0.98066342,0.025772784,-0.0065134587,-0.0030243325
35072500000,-0.007215491,-0.0030152912,-0.98548657,0.023487687,-0.98125249,0.02496314,-0.0072198147,-0.0029445447
35140000000,-0.0073207607,-0.0027804202,-0.98421347,0.021871731,-0.97973573,0.025064588,-0.0069486764,-0.0025967788
35207500000,-0.0071366951,-0.0026865304,-0.98419935,0.02317562,-0.98178375,0.025375091,-0.0072157355,-0.0029775903
35275000000,-0.0066438504,-0.0029618577,-0.98344892,0.023009509,-0.98168892,0.024225865,-0.0070633418,-0.0022017502
35342500000,-0.0065252939,-0.0025425723,-0.98370689,0.022893064,-0.98077911,0.024873845,-0.0075745005,-0.002286389
35410000000,-0.0068583074,-0.0029846211,-0.98353755,0.023146033,-0.98216522,0.023787573,-0.0071166577,-0.0024636816
35477500000,-0.006780629,-0.002024225,-0.98442918,0.022369206,-0.98338193,0.023932189,-0.0064295232,-0.0019758001
35545000000,-0.0067585208,-0.0023650741,-0.98296249,0.022525311,-0.98313022,0.024591357,-0.006663389,-0.0023879474
35612500000,-0.0069705755,-0.0018655795,-0.98434734,0.023138732,-0.9837265,0.026123852,-0.0066687432,-0.0014440636
35680000000,-0.0064104791,-0.0021635885,-0.98411548,0.022131234,-0.98441637,0.02513811,-0.006235484,-0.0022865583
35747500000,-0.0064630406,-0.002205516,-0.98282671,0.022415221,-0.98464239,0.025751263,-0.0063927225,-0.0019145419
35815000000,-0.0065339291,-0.0015391053,-0.98311877,0.023256987,-0.985663,0.025690347,-0.005836782,-0.0022253373
35882500000,-0.0061809081,-0.0021663029,-0.98355299,0.022673003,-0.98573607,0.026060835,-0.0062128743,-0.001677409
35950000000,-0.0062698759,-0.0018357539,-0.98429489,0.023598611,-0.98686075,0.027310073,-0.006196829,-0.0020163967
