!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 12:08:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.0019346408,-0.0059181442,-1.0125111,0.016353667,-0.97834224,0.034968346,-0.0018303602,-0.0061675701
26567500000,-0.0017724228,-0.0057992619,-1.0109004,0.014379919,-0.97862327,0.034835935,-0.0016568354,-0.0060353572
26635000000,-0.0019533362,-0.0060774968,-1.0096345,0.015560687,-0.97584909,0.034656078,-0.0015094753,-0.0063089021
26702500000,-0.0021105809,-0.0058052111,-1.0113106,0.016212314,-0.97658479,0.036325738,-0.0019393498,-0.0064392029
26770000000,-0.0020109061,-0.0061807027,-1.0103352,0.014407411,-0.9772917,0.033221848,-0.0018519659,-0.0064110416
26837500000,-0.0021100482,-0.0058692903,-1.0095062,0.016359493,-0.97414744,0.034550503,-0.0021074321,-0.0059993672
26905000000,-0.0023774209,-0.0058493679,-1.0119971,0.015690118,-0.97643852,0.034446135,-0.0021112934,-0.0058798841
26972500000,-0.0024658134,-0.0061572688,-1.0099356,0.015132993,-0.9759261,0.032738507,-0.0020479539,-0.0064235777
27040000000,-0.0022472562,-0.0057933931,-1.0110656,0.017093759,-0.97314167,0.033791088,-0.0022152914,-0.0063175661
27107500000,-0.0023084483,-0.0058709029,-1.0117285,0.015473604,-0.97576559,0.034079671,-0.0023863735,-0.0059539038
27175000000,-0.0020480077,-0.006012457,-1.0091292,0.01471895,-0.97425568,0.031489536,-0.0018490495,-0.0060616932
27242500000,-0.0019756625,-0.0060461215,-1.0083712,0.016747594,-0.97367436,0.034080088,-0.0017421274,-0.0061218641
27310000000,-0.0022246959,-0.0059288424,-1.0101351,0.015210189,-0.97424042,0.03422635,-0.0020565754,-0.0065619238
27377500000,-0.0020639631,-0.0061641331,-1.0092752,0.015748292,-0.97191226,0.032756582,-0.0020984677,-0.0063799918
27445000000,-0.0023139038,-0.0062489249,-1.0097231,0.016148776,-0.97189647,0.033295959,-0.0021110454,-0.0060228575
27512500000,-0.0020416668,-0.0060943365,-1.0103981,0.01505968,-0.97432518,0.033082038,-0.0021355199,-0.0059936764
