!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 12:10:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.0037227273,-0.084259108,-1.0117829,-0.054039329,-1.0002744,-0.04617244,-0.0074607842,-0.089375883
26567500000,-0.0048922822,-0.083902016,-1.0091286,-0.057120621,-0.99984705,-0.046883464,-0.0053174645,-0.087216109
26635000000,-0.0045786165,-0.085639402,-1.008389,-0.055821657,-0.99635625,-0.048062801,-0.0046406724,-0.090172783
26702500000,-0.0062432587,-0.084740467,-1.0110328,-0.055656791,-0.99839127,-0.046500534,-0.0053258371,-0.090092234
26770000000,-0.0049573402,-0.086023927,-1.0092155,-0.058276091,-1.0013851,-0.050169628,-0.0067457333,-0.090657324
26837500000,-0.0063227955,-0.084316671,-1.0084734,-0.055891335,-0.99862015,-0.047950119,-0.0091350451,-0.088927954
26905000000,-0.0064144861,-0.085010342,-1.0118235,-0.057470292,-1.0009525,-0.046564043,-0.0087962467,-0.088439934
26972500000,-0.0074755587,-0.08550249,-1.0094488,-0.058494002,-0.9994396,-0.049768984,-0.0074252039,-0.089250922
27040000000,-0.006301532,-0.085164651,-1.0099292,-0.054797225,-0.99681425,-0.048437104,-0.0077858614,-0.090027511
27107500000,-0.0059398748,-0.084019311,-1.0106035,-0.05587852,-1.0011735,-0.047082096,-0.0091071129,-0.087909922
27175000000,-0.0041132895,-0.083194599,-1.0056841,-0.056320548,-0.99817193,-0.049669072,-0.0072325403,-0.087131754
27242500000,-0.0030293763,-0.084274799,-1.0048072,-0.054398447,-0.99535203,-0.046163321,-0.005729083,-0.086220801
27310000000,-0.0026861671,-0.084527515,-1.0058169,-0.057537325,-0.99699205,-0.04726835,-0.0054912316,-0.089363307
27377500000,-0.001679305,-0.085303634,-1.0030193,-0.056764841,-0.99536991,-0.050914794,-0.0071111452,-0.089961164
27445000000,-0.0017279573,-0.085250705,-1.0048571,-0.056842029,-0.99476099,-0.046999604,-0.0070039146,-0.086771086
27512500000,-0.0029779375,-0.087382004,-1.0054319,-0.05890739,-0.99720895,-0.047848254,-0.0075553283,-0.08744742
27580000000,-0.001479324,-0.08551576,-1.0010805,-0.057281435,-0.99043936,-0.049723327,-0.0038050264,-0.087484352
27647500000,-0.001837071,-0.088597804,-1.0037928,-0.059505463,-0.99272007,-0.047893643,-0.0050484054,-0.091328323
27715000000,-0.002906682,-0.088586651,-1.0037944,-0.061071426,-0.99555057,-0.049429864,-0.0070638657,-0.087512195
27782500000,-0.0023292117,-0.088661432,-1.0037478,-0.06055069,-0.99047458,-0.049535662,-0.0029543899,-0.089794584
27850000000,-0.0055641215,-0.090756528,-1.0061759,-0.061015368,-0.9912045,-0.048030555,-0.005573405,-0.08848013
27917500000,-0.00373297,-0.091322824,-1.004462,-0.063143596,-0.99283844,-0.053428397,-0.0052514598,-0.09247525
27985000000,-0.0051512197,-0.088490531,-1.0055935,-0.059428453,-0.9912765,-0.052143186,-0.0064911731,-0.09277682
28052500000,-0.0067179464,-0.088787898,-1.0077302,-0.061453342,-0.9950316,-0.049398124,-0.0086765289,-0.08905153
28120000000,-0.0062274225,-0.088677809,-1.0062299,-0.06128028,-0.99409479,-0.050260007,-0.0081283115,-0.087051697
28187500000,-0.0056675402,-0.088649087,-1.0061516,-0.059442952,-0.99069738,-0.048825577,-0.0059941094,-0.089366078
28255000000,-0.008536607,-0.088814579,-1.0089009,-0.059756219,-0.9930855,-0.049077302,-0.0077744536,-0.088773198
28322500000,-0.0075765382,-0.086718388,-1.0082017,-0.05861488,-0.99251962,-0.049963236,-0.0064076763,-0.088422783
28390000000,-0.0080455281,-0.086131081,-1.0097337,-0.057447836,-0.98928374,-0.046633307,-0.0063444562,-0.086501844
28457500000,-0.0086785909,-0.084957503,-1.0093569,-0.057542235,-0.99080813,-0.045892626,-0.0049954653,-0.084853657
28525000000,-0.005943574,-0.085535966,-1.0064079,-0.056787342,-0.98962653,-0.047663182,-0.0049537048,-0.08693403
28592500000,-0.0046684928,-0.084853768,-1.0038488,-0.05626294,-0.98729903,-0.047092736,-0.0042526759,-0.086733118
28660000000,-0.005742345,-0.087047443,-1.006767,-0.057788432,-0.99059069,-0.047150195,-0.0042858981,-0.088055715
28727500000,-0.0042265579,-0.084985644,-1.006326,-0.057321183,-0.98727161,-0.046798974,-0.0030332804,-0.08404731
28795000000,-0.0036597773,-0.084892169,-1.0053568,-0.057381451,-0.98516643,-0.046961933,-0.00080525316,-0.087477766
28862500000,-0.0034525841,-0.085379265,-1.0049585,-0.057591856,-0.98668671,-0.047449112,-0.0029364936,-0.087484486
28930000000,-0.002752604,-0.086149871,-1.0034539,-0.058008254,-0.98784423,-0.049821198,-0.00091723725,-0.089327037
28997500000,-0.00033784192,-0.08742658,-1.0022835,-0.058817431,-0.98614359,-0.049251493,-0.0023888871,-0.088891372
29065000000,-0.00054151984,-0.089608677,-1.0031359,-0.060920253,-0.98641968,-0.048568703,0.0004889369,-0.08695592
29132500000,-0.0014095679,-0.091120675,-1.0046216,-0.062990695,-0.98417413,-0.051597357,3.5632402e-005,-0.090282343
29200000000,-0.0017212071,-0.091402978,-1.0041206,-0.063077241,-0.98470819,-0.051018119,-0.0011168532,-0.091750607
29267500000,-0.0038644359,-0.091724895,-1.0052491,-0.063458048,-0.98831815,-0.051423684,-0.0018955776,-0.09156435
29335000000,-0.0012212694,-0.091762826,-1.0039728,-0.064125046,-0.98652482,-0.054075286,-0.0010640491,-0.091006987
29402500000,-0.0028835554,-0.095042512,-1.0033728,-0.064546466,-0.9868558,-0.053616509,-0.0021318123,-0.091848694
29470000000,2.0722859e-005,-0.094163857,-1.0046787,-0.064984158,-0.98860973,-0.056088343,-0.0016933074,-0.094354689
29537500000,-0.0042725876,-0.095827661,-1.004495,-0.067521557,-0.98884606,-0.059217185,-0.0031948406,-0.095925711
29605000000,-0.0038598552,-0.095884345,-1.0057127,-0.065725118,-0.99051833,-0.055154622,-0.0040012002,-0.093038432
29672500000,-0.006223496,-0.095457003,-1.0094616,-0.067563862,-0.99217796,-0.056823313,-0.0029678866,-0.094652191
29740000000,-0.0066226125,-0.094604626,-1.0084298,-0.0660851,-0.98949087,-0.057956576,-0.0049880669,-0.092363313
29807500000,-0.0062017739,-0.095361024,-1.0079024,-0.064617097,-0.9933815,-0.057043523,-0.0051929057,-0.094430834
29875000000,-0.0059058927,-0.095929883,-1.0102124,-0.067127585,-0.99808884,-0.058902055,-0.011876158,-0.094408624
29942500000,-0.0059084678,-0.093843259,-1.0074028,-0.066350073,-0.99488288,-0.056631386,-0.005405576,-0.091475233
30010000000,-0.0087855384,-0.094697729,-1.0096445,-0.065127939,-0.99488688,-0.052846044,-0.0067064799,-0.08893013
30077500000,-0.0088652968,-0.095163971,-1.0125177,-0.065238804,-0.99505287,-0.056230828,-0.0059921872,-0.089685038
30145000000,-0.0083525926,-0.092483811,-1.0105691,-0.064643309,-0.9924072,-0.055012301,-0.0050136745,-0.09149918
30212500000,-0.0068484023,-0.0951593,-1.0107685,-0.062298149,-0.99621779,-0.053576976,-0.0058462061,-0.089259595
30280000000,-0.0071680583,-0.090669066,-1.0099717,-0.064353734,-0.99422836,-0.054830134,-0.0021503381,-0.089139238
30347500000,-0.0039886646,-0.093099654,-1.0071545,-0.061954886,-0.99136984,-0.054076761,-0.0020400807,-0.088839814
30415000000,-0.0082824007,-0.092089586,-1.0103525,-0.061265409,-0.99404478,-0.052327991,-0.0020988546,-0.089169323
30482500000,-0.0051517636,-0.093460463,-1.009004,-0.063140273,-0.99189639,-0.055535883,-0.0026056673,-0.090436876
30550000000,-0.0058354549,-0.093370736,-1.007838,-0.061761081,-0.98910201,-0.051287711,0.0016791336,-0.089472696
30617500000,-0.0042025708,-0.094455846,-1.0089873,-0.061478391,-0.98896658,-0.052901477,0.001902638,-0.090566128
30685000000,-0.003175728,-0.093907423,-1.0069802,-0.062991589,-0.98476672,-0.056018755,0.0064344797,-0.092472225
30752500000,-0.0017682258,-0.095423527,-1.0040133,-0.062876672,-0.98398578,-0.054528832,0.0041786041,-0.09245754
30820000000,-0.0039852709,-0.097622648,-1.0046856,-0.064826399,-0.98906994,-0.057563186,0.0038632825,-0.096694574
30887500000,-0.0037659667,-0.096833125,-1.0051122,-0.065098792,-0.98372579,-0.058231413,0.0041690208,-0.095508508
30955000000,-0.0045693871,-0.099944815,-1.0063021,-0.065460607,-0.98299921,-0.056214884,0.0088389385,-0.096897721
31022500000,-0.0033883378,-0.09904933,-1.0080318,-0.065969735,-0.98469144,-0.059512407,0.0040768981,-0.10086116
31090000000,-0.0041012876,-0.099507004,-1.0048585,-0.065696299,-0.98301589,-0.06175822,0.004824657,-0.10040039
31157500000,-0.0056352988,-0.10119697,-1.006013,-0.066314518,-0.98397124,-0.060562789,0.0042538233,-0.10472218
31225000000,-0.0082429405,-0.10424824,-1.0091282,-0.068769038,-0.98421419,-0.064608544,0.004083531,-0.10431319
31292500000,-0.0056981277,-0.10131031,-1.006134,-0.068746954,-0.98162889,-0.065923959,0.0060176589,-0.10638139
31360000000,-0.0092645641,-0.10493923,-1.0092074,-0.066987857,-0.98606282,-0.065839559,-0.0009674374,-0.10732959
31427500000,-0.0096911984,-0.10133842,-1.0081185,-0.068380915,-0.98860377,-0.065278605,-0.0030678678,-0.10663217
31495000000,-0.0095480159,-0.10157688,-1.0083914,-0.066012114,-0.98643249,-0.064311057,-0.0022161156,-0.10618554
31562500000,-0.01341011,-0.10108598,-1.011108,-0.064830795,-0.98918259,-0.064173624,-0.0052366257,-0.10585187
31630000000,-0.010753166,-0.099331751,-1.0102509,-0.066547543,-0.98844719,-0.065356642,-0.0043479949,-0.10445765
31697500000,-0.011320103,-0.10125001,-1.0104958,-0.066110671,-0.9881084,-0.064131826,-0.0065444186,-0.10356399
31765000000,-0.01178927,-0.09984681,-1.0098665,-0.064763308,-0.99054867,-0.062941253,-0.0059257671,-0.10186322
31832500000,-0.011427823,-0.098976493,-1.0091743,-0.065077662,-0.99176586,-0.062759548,-0.0079656579,-0.10182662
31900000000,-0.011683779,-0.098413892,-1.0095384,-0.06372413,-0.98896062,-0.061286464,-0.0050478764,-0.10115229
31967500000,-0.011657679,-0.096754543,-1.0086929,-0.062237158,-0.99159038,-0.061025128,-0.0061612884,-0.098390311
32035000000,-0.010723323,-0.098488152,-1.0094819,-0.063960224,-0.99075139,-0.059684724,-0.007318642,-0.099907786
32102500000,-0.010698908,-0.097391978,-1.0068145,-0.06324017,-0.9887374,-0.05848366,-0.0056269905,-0.097231872
32170000000,-0.0074998923,-0.096059807,-1.0053322,-0.062889934,-0.98762923,-0.05907163,-0.0023147352,-0.097202234
32237500000,-0.010218102,-0.094666138,-1.0068703,-0.061950415,-0.98708493,-0.059733242,-0.0034483708,-0.098155029
32305000000,-0.0068223923,-0.096859813,-1.0046459,-0.064404786,-0.9860267,-0.060678959,-0.0019458234,-0.097373448
32372500000,-0.0073726811,-0.097166568,-1.0036582,-0.063270986,-0.98551607,-0.060731202,-0.0003750585,-0.09917073
32440000000,-0.0077668503,-0.094917938,-1.0037825,-0.062517866,-0.9848823,-0.062058643,-0.00020777807,-0.10030302
32507500000,-0.0050445599,-0.098035283,-1.0025226,-0.065764479,-0.98276198,-0.06247272,0.0031924576,-0.10027318
32575000000,-0.0073807761,-0.097712278,-1.0031569,-0.064492196,-0.98289478,-0.065524936,0.0017597489,-0.10397342
32642500000,-0.0054266453,-0.095022485,-1.0031471,-0.063720405,-0.98320127,-0.068320885,0.0013941955,-0.10433043
32710000000,-0.0063184015,-0.099344313,-1.0033163,-0.0663203,-0.98362875,-0.069965065,0.00044605508,-0.10743262
32777500000,-0.0052227508,-0.098690733,-1.0009457,-0.066694513,-0.98517871,-0.06983231,0.00065597892,-0.10661959
32845000000,-0.0054329485,-0.09801735,-1.0026907,-0.066402107,-0.98500025,-0.072409809,-0.00031182915,-0.10924446
32912500000,-0.0056396723,-0.099278226,-1.0015327,-0.067192256,-0.98476148,-0.073120803,-0.0023621731,-0.10961586
32980000000,-0.0067606345,-0.10003023,-1.0042605,-0.069287658,-0.98798746,-0.074401706,-0.00016095862,-0.11160792
33047500000,-0.0080281571,-0.10184091,-1.0074066,-0.069891274,-0.98884153,-0.077059537,-0.005967956,-0.1115528
33115000000,-0.0092842225,-0.10086945,-1.0055964,-0.070194244,-0.9913007,-0.077216402,-0.0058023669,-0.11227861
33182500000,-0.0089535005,-0.10010245,-1.0076427,-0.068526208,-0.99477804,-0.080386162,-0.0084691755,-0.1134882
33250000000,-0.0095408037,-0.10046626,-1.0062656,-0.070918448,-0.99488819,-0.079753451,-0.011917766,-0.11379103
33317500000,-0.01001196,-0.10058606,-1.0074469,-0.069746971,-0.99811023,-0.078381687,-0.014354024,-0.11226618
33385000000,-0.013056483,-0.1016039,-1.0124702,-0.069364995,-1.0014615,-0.080837816,-0.013735313,-0.11641514
33452500000,-0.014593698,-0.10046542,-1.0120107,-0.069952756,-0.99987024,-0.078699887,-0.018143393,-0.11148085
