!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 11:59:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.00072869309,-0.0053082742,-1.0049143,0.019832969,-0.98543215,0.030684263,-0.00092039537,-0.0056647081
26567500000,-0.00097647868,-0.0054240073,-1.00289,0.017889798,-0.9858073,0.030905098,-0.00080534653,-0.0054703467
26635000000,-0.00067257229,-0.0056853327,-1.0018477,0.019082248,-0.98296762,0.030579954,-0.00095571578,-0.0057419064
26702500000,-0.00089833757,-0.0057609347,-1.0041883,0.019560099,-0.98379576,0.0323167,-0.00059318589,-0.0061013321
26770000000,-0.00097242754,-0.0053892327,-1.0031228,0.017624058,-0.98408413,0.02863276,-0.0011465137,-0.0057947291
26837500000,-0.00082739413,-0.0052694287,-1.0019324,0.019469962,-0.98158836,0.031054437,-0.0012107354,-0.0059393784
26905000000,-0.001157861,-0.0053599617,-1.0044135,0.019036874,-0.98411298,0.030975342,-0.00135179,-0.0057383501
26972500000,-0.00086159934,-0.0054701986,-1.0019709,0.018738538,-0.98341691,0.029054761,-0.00094126607,-0.0059838281
27040000000,-0.0013015019,-0.005793178,-1.0032241,0.020119991,-0.98069948,0.02989395,-0.0013682795,-0.0061482885
27107500000,-0.0011895606,-0.0055014533,-1.0036521,0.019297034,-0.98341531,0.030774117,-0.0014095671,-0.0057294322
27175000000,-0.0011263875,-0.0055545154,-1.0013134,0.018335268,-0.9818868,0.027998179,-0.00096531934,-0.0056008394
27242500000,-0.00087993545,-0.0056010657,-1.0015361,0.020582259,-0.98086095,0.030168861,-0.00097138854,-0.0057442356
27310000000,-0.00080465485,-0.0055055041,-1.0024509,0.018933773,-0.98155022,0.030693129,-0.0010882786,-0.0061461958
27377500000,-0.00073249417,-0.0057403338,-1.0012887,0.019832388,-0.97954839,0.02852048,-0.0012197227,-0.0060024387
27445000000,-0.00085931201,-0.0057917461,-1.0018048,0.020421118,-0.97874296,0.029215753,-0.0011864905,-0.0058787451
27512500000,-0.0010590858,-0.0059871404,-1.0026183,0.019085467,-0.98143613,0.028936148,-0.0014388517,-0.0058726096
27580000000,-0.00085372361,-0.0056851716,-0.99977815,0.020065784,-0.977992,0.028814137,-0.00091714528,-0.0058937296
27647500000,-0.00090515031,-0.0058156983,-1.0026662,0.019557118,-0.9788484,0.030919045,-0.0014261043,-0.0061257076
27715000000,-0.0010906376,-0.0060498961,-1.0015793,0.0195629,-0.97907674,0.029034585,-0.0014079112,-0.0057441075
27782500000,-0.0012277656,-0.0061499532,-1.0012107,0.020232886,-0.97744393,0.02910462,-0.001023978,-0.0060391454
27850000000,-0.0015105853,-0.0062309513,-1.00187,0.020287931,-0.97850478,0.03046608,-0.0013329539,-0.0060482379
27917500000,-0.0011265443,-0.0061350614,-1.0010387,0.01933229,-0.97729069,0.028455317,-0.0010350986,-0.0062052612
27985000000,-0.001366382,-0.006014497,-1.0006099,0.02154097,-0.975752,0.028742731,-0.0015055209,-0.0062857433
28052500000,-0.0013908732,-0.0062399935,-1.0021625,0.019878298,-0.97759521,0.02908206,-0.001186843,-0.0060704532
28120000000,-0.0015148772,-0.0059457393,-1.0011635,0.020013481,-0.97779703,0.027776599,-0.0014782755,-0.0058824206
