!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 11:58:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,0.0010593912,-0.0066917595,-1.006156,0.017569393,-0.98699629,0.028218269,0.00090665766,-0.0072930111
26567500000,0.00075426977,-0.0068062823,-1.0045451,0.015107185,-0.98671246,0.028421521,0.0010988764,-0.0069957469
26635000000,0.0012611095,-0.0067476998,-1.0027721,0.016788185,-0.98385817,0.027884305,0.0011571811,-0.0072647445
26702500000,0.00102215,-0.0067790039,-1.0050424,0.017295152,-0.98532629,0.029675469,0.00096045271,-0.0073967329
26770000000,0.00098415301,-0.0071763112,-1.0042275,0.015440032,-0.98531854,0.0267151,0.00077538437,-0.0076539032
26837500000,0.00095388386,-0.0068059824,-1.0029742,0.016849831,-0.98222494,0.027961403,0.00076564285,-0.0071850666
26905000000,0.00070528185,-0.0075019542,-1.0058577,0.016339794,-0.98446095,0.027814001,0.00055049045,-0.0073484648
26972500000,0.00081508583,-0.0072549507,-1.0032568,0.01611802,-0.98408484,0.026765019,0.00088294339,-0.0073078186
27040000000,0.00090051885,-0.0076285163,-1.0044806,0.017806005,-0.98102176,0.027925219,0.00093738199,-0.0076113809
27107500000,0.001072428,-0.0074238679,-1.0053339,0.016508341,-0.98377109,0.028213233,0.00084777642,-0.0075244093
27175000000,0.0010393142,-0.0072561484,-1.0027366,0.015881851,-0.98226786,0.025689155,0.00098546804,-0.0072440417
27242500000,0.00094893435,-0.007331986,-1.0025289,0.017813176,-0.98126614,0.027894258,0.00079509779,-0.0073023019
27310000000,0.0011704345,-0.0073366137,-1.0040469,0.016213447,-0.98251867,0.028297529,0.00094447518,-0.0077006849
27377500000,0.00091042579,-0.0072337734,-1.0023148,0.016742349,-0.97978401,0.026469618,0.0010828612,-0.0078234142
27445000000,0.0014342021,-0.0073664263,-1.003242,0.017052531,-0.97961724,0.027714342,0.00082251406,-0.0073703825
27512500000,0.00084237964,-0.0074885348,-1.0038073,0.015597582,-0.98197258,0.027343422,0.00092151272,-0.0076145232
27580000000,0.001344386,-0.0074267471,-1.0007517,0.017020971,-0.97827351,0.026804149,0.0013065194,-0.0076032523
27647500000,0.0011321898,-0.0077524884,-1.0036807,0.016821235,-0.97834575,0.028788954,0.00090201339,-0.0080511896
27715000000,0.00094981329,-0.0076321037,-1.0033492,0.016543299,-0.97982454,0.026680559,0.0009894718,-0.0078566186
27782500000,0.0010767709,-0.0080646258,-1.0028937,0.017139137,-0.9772191,0.026842415,0.0012121401,-0.0080358125
27850000000,0.0011046992,-0.0083281947,-1.003762,0.017169178,-0.97823423,0.028671563,0.00094694924,-0.0080413148
27917500000,0.0010088149,-0.0081103537,-1.0026443,0.016280621,-0.97779155,0.026442945,0.0010898121,-0.0085236533
27985000000,0.00065072766,-0.0080126207,-1.0020961,0.018669397,-0.97565532,0.026733488,0.00089955865,-0.0082423026
28052500000,0.00063829683,-0.0081706643,-1.0040264,0.016301602,-0.97750866,0.027200639,0.00076262141,-0.007778923
28120000000,0.00069765956,-0.0081002247,-1.0029213,0.01629737,-0.97736049,0.02571255,0.00080596516,-0.0078068245
28187500000,0.00068527134,-0.0083612585,-1.0024134,0.017980248,-0.97568506,0.027567998,0.00091277761,-0.0080439169
28255000000,0.00033447053,-0.0083166165,-1.0032952,0.01752463,-0.97723132,0.027372897,0.00091411499,-0.0079178866
28322500000,0.00067890086,-0.0080357641,-1.002663,0.017129928,-0.97586334,0.025660783,0.00073481631,-0.0080906535
28390000000,0.00037397025,-0.0080344016,-1.0031346,0.017632641,-0.97505897,0.027745463,0.00035417726,-0.0077562728
28457500000,0.00027249102,-0.0079612341,-1.0031314,0.017000556,-0.97647917,0.027480453,0.00090080523,-0.0077868085
28525000000,0.0004741603,-0.0079272138,-1.0029026,0.017408878,-0.97638601,0.027715206,0.00081929937,-0.007754867
28592500000,0.00078417105,-0.0079102945,-1.00177,0.017303646,-0.97417378,0.0279755,0.00077056116,-0.0081749428
28660000000,0.00061535323,-0.0084355911,-1.0031323,0.017350286,-0.97668046,0.027704418,0.00086746248,-0.0079964921
28727500000,0.00049799093,-0.0081409626,-1.0027632,0.01807363,-0.97554088,0.027311251,0.00098379562,-0.0078386441
28795000000,0.0006203946,-0.0079863891,-1.003237,0.016487211,-0.97503108,0.028914854,0.0010116587,-0.0079220366
28862500000,0.00066891662,-0.0079257609,-1.0038009,0.017705441,-0.97586888,0.028273791,0.00091578416,-0.0079328194
28930000000,0.00079210824,-0.0081922468,-1.002809,0.016912937,-0.97559005,0.02723518,0.0011033572,-0.0083704395
28997500000,0.0011626583,-0.008450916,-1.0023315,0.017503969,-0.97449225,0.027635969,0.00085352408,-0.0083646411
29065000000,0.000831899,-0.0084306784,-1.0033623,0.017572962,-0.9763695,0.028372012,0.0010927462,-0.0080660842
29132500000,0.00088237342,-0.0084753931,-1.0036032,0.016288638,-0.97483152,0.027351111,0.0011167759,-0.0084834248
29200000000,0.00059106341,-0.0087407753,-1.003016,0.016293585,-0.9742943,0.028085142,0.0011687404,-0.0087367333
29267500000,0.00042194535,-0.0089178411,-1.0045339,0.016795091,-0.97540444,0.02804248,0.00081247743,-0.0086727189
29335000000,0.0009560351,-0.0088246828,-1.0027684,0.016330197,-0.97456002,0.026333153,0.0010840715,-0.0086351084
29402500000,0.0008607941,-0.009003575,-1.0017833,0.017065808,-0.97529745,0.026889488,0.00087269314,-0.0088394042
29470000000,0.00090574502,-0.0088249194,-1.0037864,0.017443284,-0.9767397,0.026297927,0.00081437163,-0.009222893
29537500000,0.00067162863,-0.009255562,-1.0020127,0.015539348,-0.9743365,0.02496399,0.00054726994,-0.0091616912
29605000000,0.00055251736,-0.0094632488,-1.0017287,0.017220467,-0.97496277,0.026794583,0.00047644484,-0.0089467075
29672500000,0.00017333077,-0.0094677564,-1.0051539,0.016649008,-0.97634822,0.025067121,0.00067715347,-0.0090570385
29740000000,0.00020042714,-0.0091179376,-1.0032233,0.016567439,-0.97502089,0.024589658,0.00045632524,-0.0086494023
29807500000,-0.00013859756,-0.0093483878,-1.0031115,0.01731199,-0.97579598,0.024669647,0.00074368808,-0.0091531398
29875000000,0.00047825836,-0.0093548782,-1.0044709,0.016802132,-0.97846305,0.022704482,-0.00017065508,-0.0093568023
29942500000,0.00022029574,-0.0091508562,-1.0019972,0.016075198,-0.97629601,0.022677582,0.00047030055,-0.0089363465
30010000000,-0.00022387411,-0.0092104729,-1.0028087,0.017717183,-0.97804689,0.025037974,0.00048189424,-0.0086814584
30077500000,-0.00023116567,-0.0092764152,-1.0043243,0.01686722,-0.97804725,0.022512317,5.3504482e-006,-0.0086910743
30145000000,-0.00041962648,-0.0091728009,-1.0029603,0.016492799,-0.97597587,0.023149773,0.00039111462,-0.0089922007
30212500000,7.9001766e-005,-0.0093248477,-1.0035449,0.017990202,-0.979316,0.02257058,0.0006592148,-0.0085934559
30280000000,-0.0003366773,-0.0091700405,-1.0031581,0.016191632,-0.97861969,0.022429645,0.00061213924,-0.0084282774
30347500000,0.00038726768,-0.0093122013,-1.0014015,0.017909855,-0.97684801,0.022949845,0.00077967881,-0.0086953826
30415000000,-0.00040628738,-0.0095510036,-1.0035104,0.018108994,-0.97976083,0.024839789,0.00080099329,-0.0087722167
30482500000,-0.00012307521,-0.0092484606,-1.003096,0.016461089,-0.97852993,0.022830814,0.00048602885,-0.0088555515
30550000000,-5.8806036e-005,-0.0093893511,-1.0019345,0.017553061,-0.97674739,0.024859726,0.00092385267,-0.0088893212
30617500000,0.00035833626,-0.0095764706,-1.0036445,0.018162981,-0.97929984,0.02436167,0.00086227863,-0.0089417649
30685000000,0.00020837761,-0.0093124211,-1.0023147,0.016816467,-0.97702885,0.023675054,0.0012402514,-0.0095252553
30752500000,0.00014552358,-0.0096644219,-1.0005956,0.019137174,-0.97659725,0.025506824,0.0011756001,-0.0092618689
30820000000,-0.00010636821,-0.010052237,-1.0020639,0.016861886,-0.97901016,0.02352348,0.00084836362,-0.009847004
30887500000,-4.4665765e-005,-0.010110927,-1.000265,0.017522871,-0.97606647,0.023869574,0.0012257216,-0.0093051102
30955000000,-0.00031476934,-0.0099216821,-1.0017102,0.017859071,-0.97714037,0.026020706,0.0015670753,-0.0098440228
31022500000,5.4332428e-005,-0.010416321,-1.0028965,0.018366486,-0.97716713,0.024987578,0.00085002463,-0.0098808026
31090000000,-0.00011059549,-0.010486819,-1.0004965,0.017668486,-0.9749735,0.025274634,0.0010287319,-0.010144367
31157500000,-0.00025110855,-0.01034369,-1.0011494,0.018655658,-0.97473437,0.025411934,0.00098504103,-0.010243227
