!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 12:05:25
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.00084375823,-0.0044942889,-1.0027081,0.021359622,-0.98112321,0.035197645,-0.00082173408,-0.0047185775
26567500000,-0.00061272201,-0.0046911971,-1.0004137,0.019456267,-0.98103815,0.034699142,-0.00092541112,-0.0046042213
26635000000,-0.00098348444,-0.0045348564,-0.99959183,0.02096945,-0.97813195,0.034546226,-0.00098366512,-0.0045055342
26702500000,-0.0013573543,-0.0044370973,-1.0012175,0.021169007,-0.97989935,0.036562949,-0.00073955749,-0.0048559448
26770000000,-0.0011206975,-0.0044424059,-1.0004255,0.019591793,-0.98061645,0.033211283,-0.0012567558,-0.0048058615
26837500000,-0.0010067563,-0.0045175459,-0.99905306,0.021032929,-0.97752899,0.034643501,-0.001164773,-0.0045546507
26905000000,-0.00099074573,-0.0045243278,-1.0021057,0.020516083,-0.98039484,0.03473945,-0.0011880203,-0.0047528376
26972500000,-0.0010926136,-0.0042874445,-0.99961585,0.020302474,-0.97946209,0.033156186,-0.00090208871,-0.0047109504
27040000000,-0.0010600806,-0.0045310101,-1.0004028,0.021744328,-0.97724754,0.03348612,-0.00096181256,-0.0048166132
27107500000,-0.0010343731,-0.0045063249,-1.0013984,0.020540625,-0.97941673,0.03411901,-0.0011286169,-0.0045891614
27175000000,-0.00081716583,-0.0043922942,-0.99869794,0.020235285,-0.97866803,0.031312257,-0.00094254536,-0.0045192344
27242500000,-0.00089507841,-0.0046205148,-0.9987247,0.022152513,-0.97782189,0.033670038,-0.00059789768,-0.004623116
27310000000,-0.00070929772,-0.0045963819,-0.99976104,0.020570248,-0.97848684,0.033873245,-0.00069510174,-0.0049723103
27377500000,-0.00073607406,-0.0045634466,-0.99860132,0.02136156,-0.97655326,0.031776071,-0.00076909515,-0.0048110117
27445000000,-0.00054949499,-0.0048713973,-0.99933517,0.021734774,-0.97603822,0.032709718,-0.0010824868,-0.0049227574
27512500000,-0.00050804531,-0.0046294895,-0.99978149,0.020124733,-0.9787246,0.032015979,-0.0010737017,-0.004591465
27580000000,-0.00066372356,-0.0046141548,-0.99682581,0.021873444,-0.9755072,0.032607645,-0.00082136167,-0.0046583884
27647500000,-0.00081637705,-0.0049199979,-1.0001309,0.021797836,-0.97644508,0.033982515,-0.0010766678,-0.0049535595
27715000000,-0.00094133418,-0.0047166231,-0.9992125,0.021019906,-0.97735083,0.032441035,-0.00091320311,-0.0046937531
27782500000,-0.00080643513,-0.0046043131,-0.99852228,0.02162984,-0.97523177,0.032500327,-0.00066073227,-0.0048311083
27850000000,-0.00064053573,-0.0048351698,-0.99889189,0.022157595,-0.97695827,0.034206808,-0.00064571068,-0.0048156823
27917500000,-0.00091894635,-0.004749774,-0.9982841,0.021245509,-0.97603017,0.031888902,-0.00098230876,-0.0048983861
27985000000,-0.00088561443,-0.0044757128,-0.99762356,0.022710323,-0.97379315,0.032181978,-0.00078545162,-0.0049690236
28052500000,-0.00083762291,-0.0046823928,-0.9994328,0.021251291,-0.9759528,0.031593829,-0.0010072809,-0.0046817386
28120000000,-0.0010409222,-0.004913501,-0.99823189,0.021711767,-0.97633755,0.030930012,-0.00079502515,-0.0046740896
28187500000,-0.00090141979,-0.004532571,-0.99772829,0.022339016,-0.97482359,0.032668576,-0.00068376947,-0.0046360991
28255000000,-0.0010615357,-0.0048513114,-0.99857795,0.022234976,-0.97644371,0.032472372,-0.00086795108,-0.0048217014
28322500000,-0.00075818138,-0.0048941476,-0.99811232,0.021610588,-0.97478247,0.031492293,-0.00077895197,-0.004578081
28390000000,-0.00092231733,-0.0048839864,-0.99874699,0.022664919,-0.97461826,0.032428369,-0.00085075083,-0.0047878064
28457500000,-0.00096771948,-0.0046868245,-0.9986645,0.021879494,-0.97597784,0.03230989,-0.00064315472,-0.0044992529
28525000000,-0.0003715544,-0.0049301879,-0.99820274,0.02269581,-0.97594488,0.032633424,-0.00064228533,-0.0046676444
28592500000,-0.00066045602,-0.0047374349,-0.99726629,0.022563696,-0.97374988,0.033353001,-0.0003987595,-0.0047590919
28660000000,-0.00070585427,-0.0050906534,-0.99869817,0.022789836,-0.9759385,0.033071697,-0.00041676057,-0.0048770197
28727500000,-0.00044225628,-0.0046165753,-0.99859661,0.02281186,-0.97514981,0.032988813,-0.00018095417,-0.0046094833
28795000000,-0.00074908091,-0.0045951013,-0.99860555,0.022019029,-0.97438949,0.034536496,-0.00031124114,-0.0049360385
28862500000,-0.00083928683,-0.005109888,-0.99901646,0.022879928,-0.97554791,0.034246027,-0.00042343396,-0.0048166816
28930000000,-0.00057916273,-0.0046563493,-0.99880493,0.022267371,-0.97496462,0.032453775,-0.00047352759,-0.0050160978
28997500000,-0.00026061141,-0.0049156519,-0.99845898,0.022821657,-0.97482288,0.033362865,-0.0002651778,-0.0049141911
29065000000,-0.00048139587,-0.0050821779,-0.99888819,0.023008056,-0.97696954,0.034279041,-4.1846419e-005,-0.0051637907
29132500000,-0.000606569,-0.0053128148,-0.9993031,0.022227407,-0.97471404,0.033289433,-0.00029854104,-0.0050652986
29200000000,-0.00052144448,-0.0055507589,-0.99825674,0.022821456,-0.97385085,0.034054667,-0.0003716033,-0.0052623637
29267500000,-0.00079644378,-0.0052360673,-0.99954742,0.022897523,-0.97577763,0.033269849,-0.00049217814,-0.0050162813
29335000000,-0.00055821438,-0.0053380937,-0.99837267,0.022373751,-0.97442919,0.031948656,-0.0002645647,-0.0050859097
29402500000,-0.00077179552,-0.0058178003,-0.99755263,0.023102045,-0.97531563,0.032501154,-0.00039971669,-0.0052115712
29470000000,-0.00059820327,-0.0054848725,-0.99948317,0.02339457,-0.97655672,0.032560721,-0.00040751998,-0.0055836341
29537500000,-0.00093563215,-0.0052770115,-0.99770647,0.02200149,-0.97419143,0.03075026,-0.00069129525,-0.0055236388
29605000000,-0.00064285891,-0.0055794008,-0.99730009,0.023635536,-0.97499931,0.032554507,-0.00063357083,-0.0053814012
29672500000,-0.00075173914,-0.0055355104,-1.0003406,0.022834301,-0.97610188,0.031277329,-0.00034789671,-0.0057540052
29740000000,-0.0010158622,-0.0056617418,-0.9983753,0.022275358,-0.97475904,0.030305654,-0.00059005711,-0.0052498104
29807500000,-0.00098972116,-0.0056550065,-0.99796104,0.023510277,-0.97554713,0.030762136,-0.00075665186,-0.0055016167
29875000000,-0.00093589281,-0.0056948392,-0.99969339,0.023586631,-0.97750694,0.02824086,-0.0013881568,-0.0055000708
29942500000,-0.00095365499,-0.0055765784,-0.99747032,0.022147037,-0.97673607,0.028309898,-0.00086276548,-0.0056327544
30010000000,-0.0011417705,-0.0057458864,-0.99816108,0.023524612,-0.97827089,0.031083465,-0.00077800755,-0.0054187076
30077500000,-0.0010618333,-0.0056598829,-0.99937844,0.022801638,-0.97861981,0.027887493,-0.0007200921,-0.0053617703
30145000000,-0.0011909232,-0.0052055325,-0.99774611,0.022575051,-0.97624779,0.028802201,-0.00078544789,-0.0054962048
30212500000,-0.00080656959,-0.0056517329,-0.99840724,0.024120599,-0.97995436,0.028433919,-0.0011738986,-0.0054790033
30280000000,-0.0010399285,-0.0055201855,-0.99895835,0.022790194,-0.97921419,0.028253466,-0.0010317927,-0.0053169574
30347500000,-0.0010650613,-0.0057544941,-0.99689507,0.02407667,-0.97756344,0.028435469,-0.00059204048,-0.0054418631
