!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 12:02:37
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.0028768675,-0.027193667,-1.0084904,-0.0012047589,-0.9991169,0.0098289251,-0.0043909289,-0.028457308
26567500000,-0.0031813784,-0.02712399,-1.0066757,-0.0032640398,-0.99832058,0.009527117,-0.003724738,-0.027948175
26635000000,-0.0030105496,-0.027635714,-1.0048902,-0.0019771457,-0.99578202,0.0084168613,-0.0036496213,-0.028944403
26702500000,-0.0036926358,-0.02735254,-1.0072359,-0.0014742911,-0.99808419,0.010346472,-0.0036495551,-0.028822903
26770000000,-0.0034246037,-0.027585112,-1.0061532,-0.0033749193,-0.99920863,0.0075565353,-0.0042709094,-0.029152187
26837500000,-0.0037814416,-0.027135212,-1.0053815,-0.0020475984,-0.99571276,0.0092929304,-0.0049883015,-0.028576043
26905000000,-0.0038194209,-0.027529323,-1.0083489,-0.0023725331,-0.99773264,0.0096295476,-0.005117307,-0.028430421
26972500000,-0.0043701297,-0.027891966,-1.0058837,-0.0028240085,-0.99677837,0.0068332851,-0.004408068,-0.028552879
27040000000,-0.0039441711,-0.027168151,-1.0067092,-0.0013885722,-0.99411023,0.0084797293,-0.0043291636,-0.028904445
27107500000,-0.0037315646,-0.02717201,-1.0072674,-0.0021609366,-0.99683833,0.0090205073,-0.0047791367,-0.028261259
27175000000,-0.003101489,-0.026670609,-1.0040776,-0.0029004812,-0.99495953,0.0063924789,-0.0043454394,-0.027734464
27242500000,-0.0027172687,-0.027484238,-1.003776,-0.00078448653,-0.99340248,0.0088507831,-0.0042032199,-0.027593622
27310000000,-0.0026060641,-0.027286591,-1.0053613,-0.003100872,-0.99479729,0.0087460056,-0.0038720991,-0.028943008
27377500000,-0.002663509,-0.02766725,-1.0030961,-0.0024655759,-0.99256837,0.0060121119,-0.004790124,-0.028703414
27445000000,-0.0022398476,-0.027680544,-1.0037625,-0.001573652,-0.99193883,0.0082949102,-0.0043503996,-0.027944714
27512500000,-0.0026813345,-0.028108846,-1.0050237,-0.003734231,-0.9945429,0.0073622167,-0.0046182321,-0.028122291
27580000000,-0.0026192199,-0.027615368,-1.0017488,-0.0021938086,-0.99023378,0.0066505373,-0.0032565305,-0.028358197
27647500000,-0.0025077974,-0.02852812,-1.0047052,-0.002946347,-0.99116784,0.0079900622,-0.0035978677,-0.029422639
27715000000,-0.0029252055,-0.028608026,-1.003924,-0.0032792091,-0.99225789,0.0072281957,-0.0041132839,-0.028357621
27782500000,-0.0025666663,-0.028610218,-1.0036876,-0.0032148361,-0.98939973,0.0069441199,-0.0029351888,-0.029086348
27850000000,-0.0037290915,-0.029325603,-1.0044782,-0.0028384626,-0.98976856,0.0085433125,-0.0039351219,-0.028456962
27917500000,-0.0032061888,-0.029629905,-1.0039743,-0.0040859282,-0.99002743,0.0053493679,-0.0040738154,-0.029741041
27985000000,-0.0036752839,-0.028638892,-1.0042233,-0.0014759302,-0.98831725,0.0060388148,-0.0042937482,-0.029629212
28052500000,-0.004464386,-0.028749298,-1.0056529,-0.003131181,-0.99034059,0.007391721,-0.0047641303,-0.028546095
28120000000,-0.0041467082,-0.028585352,-1.0038717,-0.0030431151,-0.98970306,0.0058192909,-0.0047259862,-0.027775265
28187500000,-0.0039357757,-0.028577091,-1.0041704,-0.0021162331,-0.98808777,0.0076963305,-0.0038288501,-0.028823672
28255000000,-0.0051604481,-0.028500613,-1.0055519,-0.0017806888,-0.98976827,0.0073526204,-0.0043389881,-0.028290831
28322500000,-0.004266846,-0.027728867,-1.0045995,-0.0022686422,-0.98881376,0.0061038733,-0.004240287,-0.028552622
28390000000,-0.004463396,-0.028031195,-1.0048416,-0.00079648197,-0.98679829,0.0080098696,-0.0041972753,-0.027552312
28457500000,-0.004638819,-0.027342033,-1.0049746,-0.0014278591,-0.98828804,0.0077446997,-0.0032604383,-0.027348734
28525000000,-0.0038665831,-0.027480343,-1.0037634,-0.0014211833,-0.98841566,0.0074031055,-0.0031428942,-0.028106328
28592500000,-0.0034566252,-0.027479839,-1.0030982,-0.0011200607,-0.98650014,0.0081025958,-0.0030929334,-0.028123327
28660000000,-0.0038302075,-0.028332468,-1.0044385,-0.0014231801,-0.98865116,0.0078817606,-0.0038373061,-0.028299512
28727500000,-0.0029989872,-0.02778217,-1.0044589,-0.0017589852,-0.98742402,0.0077701285,-0.0027843504,-0.027089301
28795000000,-0.0026329975,-0.027456351,-1.0036912,-0.0019677579,-0.9862355,0.0083802938,-0.0021180045,-0.028220043
28862500000,-0.002572475,-0.027274041,-1.0039587,-0.0009098053,-0.98762012,0.0076708198,-0.0026406934,-0.028200679
28930000000,-0.0025655087,-0.027993608,-1.0041879,-0.0017355978,-0.98731452,0.0063369274,-0.0022782991,-0.029029228
28997500000,-0.002163501,-0.028507054,-1.0035813,-0.0017062351,-0.98656094,0.0068732798,-0.0026912261,-0.028980399
29065000000,-0.0021008425,-0.029234989,-1.0035446,-0.0027095526,-0.98833799,0.0074265897,-0.0018178178,-0.028562108
29132500000,-0.002473129,-0.029502284,-1.0039561,-0.0036544204,-0.9867301,0.0060587525,-0.0022988431,-0.029576845
29200000000,-0.0028590821,-0.029749367,-1.0043873,-0.003508985,-0.98686361,0.0064926445,-0.0026122797,-0.029697236
29267500000,-0.0031425597,-0.029693706,-1.0051712,-0.0029825941,-0.98883259,0.0060484186,-0.002441379,-0.029907886
29335000000,-0.0021833265,-0.029853003,-1.003973,-0.0041305125,-0.9869982,0.0049521327,-0.0024687452,-0.029815299
29402500000,-0.0030372634,-0.030812925,-1.0035421,-0.0033011138,-0.98757935,0.0053474754,-0.0027140221,-0.0301394
29470000000,-0.0021191575,-0.030811504,-1.0048118,-0.0035987496,-0.98971581,0.0042772889,-0.0025312426,-0.030711552
29537500000,-0.0034854584,-0.031319264,-1.0042429,-0.0054583997,-0.98847681,0.0026074052,-0.0035114251,-0.031175662
29605000000,-0.0036017047,-0.031318277,-1.0042653,-0.0037224889,-0.9887411,0.0048314333,-0.0031885356,-0.030203126
29672500000,-0.0041726027,-0.030734729,-1.0073391,-0.0043500662,-0.99058336,0.0041572154,-0.0033044023,-0.031007562
29740000000,-0.0043377327,-0.030699585,-1.0055354,-0.004145503,-0.98806679,0.0032575727,-0.003799296,-0.02979921
29807500000,-0.0041852724,-0.030736372,-1.0054191,-0.0032258928,-0.99001235,0.0039538145,-0.0039154105,-0.030844312
29875000000,-0.0038229795,-0.031214695,-1.0069693,-0.0037318468,-0.99345315,0.0024714768,-0.0057921782,-0.030548297
29942500000,-0.0038045628,-0.030315777,-1.0052015,-0.0048194155,-0.99077171,0.0026713014,-0.0035921838,-0.029826043
30010000000,-0.0045186849,-0.030602988,-1.0069057,-0.0033016205,-0.99175692,0.0054432452,-0.0040141363,-0.028785009
30077500000,-0.0049362965,-0.030944226,-1.0072844,-0.0038182735,-0.99205875,0.0025027394,-0.0040141093,-0.029591715
30145000000,-0.0047514285,-0.030443477,-1.0058362,-0.0036505908,-0.98987925,0.0030867159,-0.0037545296,-0.030069713
30212500000,-0.0044634426,-0.0309713,-1.0067339,-0.0018125474,-0.99343824,0.0033638775,-0.003991955,-0.029462617
30280000000,-0.0044040065,-0.029615361,-1.0066016,-0.0035712123,-0.99231136,0.003174603,-0.0027358718,-0.02953729
30347500000,-0.0035839835,-0.030230545,-1.0045375,-0.0021702349,-0.98978204,0.0031177998,-0.0028249621,-0.029091377
30415000000,-0.0046590627,-0.030170722,-1.0069095,-0.0016905665,-0.99315012,0.0051728785,-0.002559219,-0.029346248
30482500000,-0.0041309255,-0.030601455,-1.0061209,-0.003303349,-0.99135792,0.0026883781,-0.0028025685,-0.029859412
30550000000,-0.0041739829,-0.030582178,-1.0051048,-0.001767695,-0.98957467,0.005063802,-0.0015681889,-0.029721148
30617500000,-0.0037655481,-0.031277668,-1.0066674,-0.0015850812,-0.99155539,0.0044515133,-0.0017774589,-0.03015992
30685000000,-0.0031968453,-0.031234032,-1.0054557,-0.0024534464,-0.98882312,0.0019621849,0.00013586413,-0.031449437
30752500000,-0.0029706834,-0.031862568,-1.0034769,-0.00052663684,-0.98864937,0.0036751926,-0.001185949,-0.031078216
30820000000,-0.0035476759,-0.0322305,-1.0041146,-0.0026134551,-0.99198347,0.002097398,-0.0015282463,-0.032470528
30887500000,-0.0034438325,-0.031916421,-1.0036869,-0.0024317205,-0.98876297,0.0018574893,-0.0011470821,-0.031596631
30955000000,-0.0043108799,-0.032899052,-1.0057749,-0.0025087148,-0.98965281,0.0037807524,0.00034349179,-0.033159271
31022500000,-0.004023985,-0.032900602,-1.0060728,-0.0022390485,-0.9903093,0.0023534298,-0.0012376755,-0.033490531
31090000000,-0.0042583644,-0.033187032,-1.0035983,-0.002390027,-0.98866427,0.0010232031,-0.001456026,-0.033768747
31157500000,-0.0043303967,-0.033451043,-1.004356,-0.0013795197,-0.98876989,0.0027253926,-0.0017262259,-0.034775246
31225000000,-0.0053869681,-0.034530818,-1.0058585,-0.003118664,-0.98942453,-0.0004799068,-0.0016429788,-0.035252769
31292500000,-0.0049624904,-0.03364687,-1.0030856,-0.0030964315,-0.9880439,-3.3885241e-005,-0.00098615326,-0.036136683
31360000000,-0.0064135594,-0.034571834,-1.0052574,-0.0015509129,-0.98965174,-0.00016123056,-0.0035378854,-0.035943005
31427500000,-0.0060830526,-0.03353668,-1.005022,-0.0021608174,-0.99053049,0.0010657012,-0.0047246269,-0.03501882
31495000000,-0.0060203122,-0.033676367,-1.004226,-0.0013202727,-0.98989856,0.0010153353,-0.0040255664,-0.035811782
31562500000,-0.0074743321,-0.033308711,-1.0054883,-0.0013075024,-0.99151856,0.00037790835,-0.0048049144,-0.03506203
31630000000,-0.006719267,-0.032857925,-1.0046515,-0.0012343824,-0.99025357,-8.1956387e-005,-0.0050377185,-0.033946775
31697500000,-0.0069438312,-0.033300661,-1.0057676,-0.001665771,-0.98952794,0.0008379221,-0.0051678782,-0.034184765
31765000000,-0.0071450118,-0.032783803,-1.0046226,-0.0012394786,-0.99089557,7.6055527e-005,-0.0055990824,-0.033802934
31832500000,-0.0066434043,-0.032647781,-1.0046138,-0.00091680884,-0.99131393,0.00034162402,-0.0053340048,-0.033740092
31900000000,-0.0068317708,-0.032507598,-1.0042758,-0.00078294426,-0.99002725,0.0014301315,-0.0050673857,-0.033739518
31967500000,-0.0065984796,-0.031762086,-1.0042684,-0.00073480606,-0.99201852,0.0018138587,-0.0055144946,-0.032729279
32035000000,-0.0064293984,-0.032227576,-1.0035985,-0.00058281422,-0.99197447,0.0018629432,-0.0058280295,-0.033084512
32102500000,-0.006562476,-0.031965174,-1.0028242,3.4682453e-005,-0.99038076,0.0026835427,-0.0047647818,-0.032132804
32170000000,-0.0055242665,-0.031631909,-1.0031739,-0.00061360002,-0.99012047,0.001876384,-0.0034587439,-0.032719776
32237500000,-0.0062699439,-0.030910935,-1.0030293,-0.0001822114,-0.98986632,0.0018617511,-0.0041569471,-0.032269187
32305000000,-0.0051742094,-0.032007471,-1.0021367,-0.00093755126,-0.98978126,0.0017094016,-0.0038860729,-0.032311812
32372500000,-0.0054635042,-0.032125171,-1.00104,-0.00061312318,-0.98982048,0.0016778111,-0.0035874648,-0.033374049
32440000000,-0.0055026375,-0.031016735,-1.002898,-1.3977289e-005,-0.98963767,0.0013788342,-0.0035015368,-0.033292953
32507500000,-0.0048243208,-0.032309972,-1.0011221,-0.0016889907,-0.9880079,0.0012036795,-0.0022891904,-0.033821911
32575000000,-0.0057278499,-0.032525446,-1.0014842,-0.001037389,-0.98866469,0.00084933639,-0.0032010349,-0.0349648
32642500000,-0.0054114615,-0.031270497,-1.0024989,-0.00066682696,-0.98805642,-0.00083270669,-0.0031954171,-0.03500542
32710000000,-0.0054345205,-0.03250942,-1.0026187,-0.0023498237,-0.98820436,-0.00081315637,-0.0037952308,-0.035860889
32777500000,-0.0051671062,-0.032362726,-1.0005459,-0.001871556,-0.98885232,-0.00078639388,-0.003531131,-0.035540681
32845000000,-0.0049031824,-0.032504298,-1.0012405,-0.0021810532,-0.98836696,-0.0015856922,-0.004538415,-0.036809329
32912500000,-0.0054963781,-0.032750893,-1.001215,-0.0024173856,-0.98853952,-0.0017054677,-0.004630249,-0.036834046
32980000000,-0.005567994,-0.033110809,-1.0025849,-0.0033452809,-0.98946464,-0.0021251142,-0.0042761611,-0.037399806
33047500000,-0.0064630276,-0.033312503,-1.0032318,-0.0031616688,-0.98968673,-0.0036149621,-0.0061494326,-0.036585614
33115000000,-0.006350352,-0.033320002,-1.0023755,-0.0034161955,-0.99014688,-0.0030410662,-0.0061558681,-0.037556231
33182500000,-0.0064343018,-0.033074573,-1.0032392,-0.0025386214,-0.99261308,-0.0042489767,-0.0073987385,-0.037340276
33250000000,-0.0064577893,-0.032925151,-1.0030193,-0.0037893653,-0.99034172,-0.0040690303,-0.0086655915,-0.037357952
33317500000,-0.0068367906,-0.032756668,-1.0030682,-0.0030809045,-0.99227655,-0.0030578375,-0.0091063399,-0.036544919
33385000000,-0.0082214214,-0.032782149,-1.00556,-0.0029001236,-0.99404705,-0.0048511624,-0.0091217766,-0.037552413
33452500000,-0.0084167374,-0.032809913,-1.0048386,-0.0031119585,-0.99208176,-0.0037440658,-0.0099275531,-0.035639718
33520000000,-0.0084830169,-0.031882517,-1.005025,-0.0019033849,-0.99452972,-0.0034937859,-0.0095671052,-0.035783622
33587500000,-0.0092814239,-0.031427823,-1.0062418,-0.0018310845,-0.99590969,-0.0058783889,-0.0110956,-0.035989694
33655000000,-0.0085541699,-0.031984095,-1.0056449,-0.0028068721,-0.99420285,-0.0028817207,-0.01063077,-0.034612149
