!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 09:24:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-0.00040317164,-0.0058110938,-1.0073105,0.016243994,-0.98375964,0.025093436,-0.00044437964,-0.0062445588
26567500000,-0.00035426067,-0.0059315162,-1.0071263,0.015381098,-0.98383904,0.025338411,-0.00013159798,-0.0061118379
26635000000,-0.00045507331,-0.0060051223,-1.0072392,0.015842944,-0.98280472,0.024892181,-0.00080371299,-0.0060224119
26702500000,-0.00028866937,-0.005778126,-1.0073571,0.015830725,-0.98305809,0.025461257,-0.00049101899,-0.0062744818
26770000000,-0.00058918772,-0.0058234674,-1.0074008,0.015867315,-0.98296285,0.02410157,-0.00043345167,-0.006413281
26837500000,-0.00043199386,-0.0059171766,-1.007265,0.016573355,-0.98206592,0.024500862,-0.00065711513,-0.0060983635
26905000000,-0.00051679905,-0.0058093956,-1.0079485,0.016259745,-0.98197395,0.024856731,-0.00070636766,-0.005814054
26972500000,-0.00047077867,-0.0057477122,-1.0077949,0.016412735,-0.9819538,0.024225473,-0.00052042445,-0.0058566607
27040000000,-0.00062680885,-0.0060616178,-1.0080299,0.016695816,-0.98188639,0.023568187,-0.00035405997,-0.0062210644
27107500000,-0.00037841848,-0.0057868166,-1.0075055,0.016512573,-0.9816885,0.023960918,-0.00034657912,-0.0061079524
27175000000,-0.00046442641,-0.005668384,-1.0070879,0.015780985,-0.98159039,0.02297172,-0.00044740574,-0.0057134512
27242500000,-0.00056130276,-0.0056642722,-1.0069039,0.016749918,-0.98144537,0.023922384,-0.00028433977,-0.0059117856
27310000000,-0.00038402702,-0.005682244,-1.0072191,0.0160923,-0.98088235,0.024260439,-0.00019580906,-0.0062504057
27377500000,-0.00019762036,-0.0060225008,-1.0068984,0.016552538,-0.98034406,0.023628607,-0.00078449887,-0.0063785254
27445000000,-0.00025012437,-0.0059086932,-1.0074482,0.016320944,-0.98067367,0.02304399,-0.00056551211,-0.0060889372
27512500000,-0.00022958149,-0.0060568629,-1.0072733,0.01648891,-0.98163879,0.023575246,-0.00044084736,-0.0062277289
27580000000,-0.00014053471,-0.0059573464,-1.0066259,0.016592205,-0.9804551,0.023371339,-0.00027484307,-0.0060829404
27647500000,3.4958357e-005,-0.006357858,-1.0077324,0.016376972,-0.98014534,0.023731202,-0.00060895027,-0.0065757842
27715000000,-0.00025230972,-0.0061672688,-1.0080636,0.016218394,-0.98071533,0.023244351,-0.00042222638,-0.0062176166
27782500000,-0.00030491897,-0.0063701048,-1.0082235,0.016217738,-0.98013115,0.02297774,-0.00020892732,-0.00645578
27850000000,-0.00062284491,-0.0066097714,-1.0078049,0.016392738,-0.98042244,0.023532033,-0.00041532528,-0.0064476747
27917500000,-0.00033478881,-0.0062960899,-1.0079327,0.016401678,-0.97979122,0.022919863,-0.0005425046,-0.0065421192
27985000000,-0.00069826841,-0.0060025919,-1.0081103,0.017296404,-0.97967988,0.022246331,-0.00040850719,-0.0068651615
28052500000,-0.00069162832,-0.0063805669,-1.008348,0.01641953,-0.97961545,0.021599203,-0.00048365002,-0.0063024615
28120000000,-0.00053901784,-0.0063180113,-1.008028,0.01708883,-0.98042059,0.021815687,-0.00041644578,-0.006197555
28187500000,-0.00053998193,-0.0062327744,-1.0080385,0.017487511,-0.97964472,0.02246657,-0.00053487218,-0.0063595236
28255000000,-0.0006040947,-0.0063179983,-1.0083543,0.017025292,-0.97997487,0.022262633,-0.00039743586,-0.0066514341
28322500000,-0.00062651874,-0.0060996679,-1.0078371,0.017629445,-0.97988248,0.021799386,-0.00020334194,-0.0062108808
28390000000,-0.00059046806,-0.0062169647,-1.0083789,0.017462578,-0.9792735,0.022914071,-0.00034555903,-0.006246007
28457500000,-0.00090471748,-0.0060432642,-1.0080086,0.017657638,-0.98008263,0.022491097,-0.00030810037,-0.0060431096
28525000000,-0.00076920772,-0.0060585062,-1.0075722,0.017759979,-0.98052847,0.022956729,-0.00016216189,-0.0061551458
28592500000,-0.00025277701,-0.0061942111,-1.007127,0.017416984,-0.97928011,0.022680014,-0.00037080632,-0.006466534
28660000000,-0.00049416767,-0.0063789375,-1.0076933,0.017847836,-0.97994483,0.022828609,-0.00025928183,-0.0065001417
28727500000,-0.00036568192,-0.0060960958,-1.007925,0.017688721,-0.98026371,0.022905797,6.3572952e-005,-0.006065846
28795000000,-0.00054477178,-0.0063919937,-1.0079527,0.017066538,-0.97963732,0.023646787,-0.00023447373,-0.00626306
28862500000,-0.00050581642,-0.006273007,-1.0076395,0.017462224,-0.97854078,0.023354709,-0.00011666329,-0.0065828077
28930000000,-0.00020262995,-0.0060390686,-1.0075669,0.017448694,-0.97916317,0.023178071,2.8925482e-005,-0.0065894565
28997500000,-0.00021563214,-0.0064950851,-1.0072764,0.016909413,-0.97924709,0.023010194,-0.00030570122,-0.0068334951
29065000000,0.00016701323,-0.0067592473,-1.007471,0.017233685,-0.979146,0.024115883,-1.896458e-005,-0.0064532813
29132500000,-0.00018481468,-0.0067185359,-1.0080283,0.017335832,-0.97788829,0.023619443,-7.7350996e-006,-0.0066816369
29200000000,-0.00020322949,-0.0069845133,-1.0075122,0.016961306,-0.97770834,0.023205251,-9.1809547e-005,-0.0068352055
29267500000,-0.00068032136,-0.0068627899,-1.0081797,0.017054513,-0.97789699,0.023229495,-0.00014467433,-0.0071490677
29335000000,-0.00050335191,-0.0070628868,-1.0078027,0.016995847,-0.97737926,0.023060098,6.27595e-005,-0.0067521599
29402500000,-0.00067395257,-0.0070882188,-1.0080103,0.017443478,-0.97771895,0.022619113,-0.00013917661,-0.0071418467
29470000000,-0.00034668494,-0.00685078,-1.0082582,0.017897174,-0.97764301,0.022946864,-5.3567579e-005,-0.0070576789
29537500000,-0.00061426836,-0.0072547272,-1.0077424,0.01661171,-0.97677982,0.021404251,-0.00040837005,-0.0072750868
29605000000,-0.00079982216,-0.0072968826,-1.0077537,0.017713338,-0.97717017,0.022434503,-0.0005819113,-0.0072603701
29672500000,-0.0011184416,-0.0071285358,-1.0090747,0.017195225,-0.97709846,0.022089332,-0.00053144805,-0.0071502812
29740000000,-0.0011064757,-0.0070693064,-1.0081297,0.017705679,-0.97701043,0.02155003,-0.0005651731,-0.0068552783
29807500000,-0.00072332821,-0.0072902595,-1.0083183,0.017855883,-0.9767009,0.021295309,-0.00041361898,-0.0071133031
29875000000,-0.00091009168,-0.007162611,-1.0084505,0.017862767,-0.97820234,0.020770729,-0.001100064,-0.0071358522
29942500000,-0.00091789721,-0.0070800218,-1.0081896,0.017608814,-0.97828758,0.020726878,-0.00054769835,-0.0069014127
30010000000,-0.0010947343,-0.0073790285,-1.0081609,0.018051177,-0.97840059,0.021962941,-0.00053203548,-0.0067070415
30077500000,-0.00097474223,-0.0070824632,-1.0086023,0.018410087,-0.978329,0.021324009,-0.00053447019,-0.0065414868
30145000000,-0.0010287084,-0.0066427239,-1.0084317,0.018188477,-0.97735643,0.021540076,-0.00042622956,-0.0069150482
30212500000,-0.0010726252,-0.0072099324,-1.0084567,0.018806636,-0.97856009,0.021121204,-0.00071112276,-0.0066875359
30280000000,-0.00083600217,-0.0066114389,-1.0083942,0.018235147,-0.97844315,0.02222082,-0.00020681205,-0.0069048195
30347500000,-0.00094706984,-0.0069821225,-1.0073895,0.018797189,-0.9776448,0.021631092,-0.00027159113,-0.0066293487
30415000000,-0.00094916025,-0.0067024939,-1.0085727,0.018732086,-0.97868359,0.023209974,-8.6753163e-005,-0.0064235828
30482500000,-0.00092220836,-0.0072593782,-1.0086157,0.018083602,-0.97845745,0.022751942,-0.00021436228,-0.0067318534
30550000000,-0.00065621338,-0.0066608554,-1.0080347,0.018428534,-0.97786534,0.023713171,-0.00036126352,-0.006747447
30617500000,-0.00078488188,-0.0071322834,-1.0086689,0.018894732,-0.9776876,0.023777127,-0.00025978591,-0.0068137171
30685000000,-0.0010396308,-0.0068675904,-1.0088742,0.018494129,-0.97724462,0.024045214,0.00032641192,-0.0069487216
