!CSV A.01.01
!Keysight Technologies,N5247B,US56070639,A.17.30.08
!Date: Wednesday, July 22, 2026 10:22:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21(REAL),S21(IMAG),S11(REAL),S11(IMAG),S22(REAL),S22(IMAG),S12(REAL),S12(IMAG)
26500000000,-3.3661374e-005,-0.00061327603,-1.0004058,0.022248089,-0.9735924,0.024469316,-0.00020266492,-0.00063810957
26567500000,-3.5452045e-005,-0.00064942101,-0.99926311,0.021413386,-0.97353661,0.024332613,-0.00047234248,-0.00071822788
26635000000,2.4295296e-006,-0.00064301229,-0.99855566,0.022013545,-0.97211027,0.023943484,0.00017439104,-0.00061423908
26702500000,-5.7987359e-005,-0.00073856633,-0.9999429,0.022261322,-0.97156566,0.025106028,-0.00016588315,-0.00067983178
26770000000,0.00020272846,-0.00069091003,-0.9996531,0.021423966,-0.97301948,0.022433281,-0.00018471866,-0.00073431188
26837500000,-6.4696898e-005,-0.00052146014,-0.99883443,0.022052482,-0.97086012,0.023465291,-0.00027049539,-0.00096481363
26905000000,-0.00028459413,-0.00057386508,-1.0006487,0.021876276,-0.97235835,0.024130821,-0.00011383867,-0.00072292535
26972500000,-0.00046291848,-0.00057069259,-0.99851024,0.021691173,-0.97258043,0.022676557,-0.00018403537,-0.0011247258
27040000000,-1.3985775e-005,-0.00092428119,-1.0000328,0.022664364,-0.97066146,0.022857603,9.2289883e-005,-0.00078397052
27107500000,-0.00013177074,-0.00068893412,-1.00028,0.022030234,-0.97245568,0.023025244,-0.00028432906,-0.00086943776
27175000000,-0.00019788886,-0.00092272053,-0.99836606,0.021503299,-0.97174472,0.021389186,-9.1230526e-005,-0.00086119451
27242500000,-0.00023928794,-0.00084565126,-0.9980737,0.022875905,-0.97136921,0.023132771,-9.2941656e-005,-0.00080090627
27310000000,-8.7591805e-005,-0.00083792635,-0.99943316,0.022029236,-0.97127396,0.023595765,-7.2393377e-005,-0.00088217907
27377500000,-0.000149887,-0.00090011751,-0.99832636,0.022479057,-0.97004306,0.021515638,5.936349e-005,-0.0008971857
27445000000,-0.00014758599,-0.00071839901,-0.99863827,0.023007423,-0.97075272,0.022313058,-0.00012383875,-0.00076253677
27512500000,-0.00026971381,-0.00059152429,-0.99885434,0.02208057,-0.97258139,0.02223143,2.4391426e-005,-0.00098179188
27580000000,3.9278908e-005,-0.00084564264,-0.99700809,0.02314198,-0.96990925,0.022053212,-1.3966754e-005,-0.00086211041
27647500000,0.00013480341,-0.0010026896,-0.99870372,0.022788525,-0.97017521,0.023003876,-4.1636929e-005,-0.0008497872
27715000000,0.00025382909,-0.0010835569,-0.99875969,0.022661775,-0.97116041,0.02192162,-6.5199711e-005,-0.00083349686
27782500000,9.7029115e-005,-0.00076027255,-0.99862719,0.023185253,-0.9698984,0.021997303,4.6701898e-005,-0.00089506886
27850000000,0.00012630687,-0.00069193641,-0.99820232,0.022992328,-0.9701829,0.023112193,-0.00023334328,-0.0011333978
27917500000,-0.00032792278,-0.0011289598,-0.99781621,0.022926956,-0.97022617,0.020888239,-6.2098901e-005,-0.0011385629
27985000000,-0.00014087025,-0.00097989501,-0.99777305,0.024295717,-0.96892571,0.021155149,-5.3768745e-005,-0.0011203367
28052500000,-5.4189499e-005,-0.0010011749,-0.99847442,0.023074418,-0.9706316,0.02039659,-0.00010749185,-0.00074257946
28120000000,-0.0002428049,-0.0010842746,-0.99773413,0.023080915,-0.97107404,0.020464957,-4.3430337e-005,-0.0010395185
28187500000,-0.00028150462,-0.0010059639,-0.99733663,0.023431756,-0.97004235,0.021720439,-0.00024330817,-0.00091588567
28255000000,0.00015836145,-0.0009328507,-0.99776143,0.023649067,-0.97139639,0.021484524,7.8724523e-005,-0.0011000242
