element	radiusAngstrom	selectionKey	defaultForPolicy	estimated	sourceLocation	notes
H	1.54	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
He	1.34	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Li	2.2	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Be	2.19	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
B	2.05	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
C	1.9	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
N	1.79	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
O	1.71	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
F	1.63	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Ne	1.56	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Na	2.25	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Mg	2.4	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Al	2.39	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Si	2.32	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
P	2.23	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
S	2.14	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Cl	2.06	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Ar	1.97	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
K	2.34	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Ca	2.7	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Sc	2.63	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Ti	2.57	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
V	2.52	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
Cr	2.33	default	true	false	Supporting Information Table S1, neutral atom row	Neutral isolated-atom radius at 0.001 e/bohr^3
